Feature,PSI,Status,Reference Mean,Current Mean,Reference Samples,Current Samples
month,11.85174649282226,DRIFT,2.943015983321751,5.830437804030577,34536,8634
temperature,4.654129271313843,DRIFT,21.439671646977068,32.374264535557096,34536,8634
pressure,1.5207078379602503,DRIFT,968.359170141302,957.9994556404911,34536,8634
carbon_monoxide,0.5096490884965814,DRIFT,856.2614373407459,487.7224924716238,34536,8634
pm10,0.3723441072807315,DRIFT,74.06494961779013,94.48417882788972,34536,8634
aqi_roll_24,0.3358096270547887,DRIFT,118.97295454984173,120.76030808431781,34536,8634
pm2_5,0.3290138202487324,DRIFT,45.6032574704656,40.41616863562659,34536,8634
wind_direction,0.31623733842562246,DRIFT,186.88368658790827,171.41602965022005,34536,8634
aqi_lag_24,0.2640144185583314,DRIFT,119.17842251563586,121.06451239286541,34536,8634
aqi_roll_6,0.2584584833944285,DRIFT,118.83158153810516,120.50978688904333,34536,8634
aqi_roll_3,0.24316792782267355,MODERATE_DRIFT,118.81243726353175,120.47054281522662,34536,8634
sulphur_dioxide,0.23958266467424733,MODERATE_DRIFT,11.09552351169794,8.467153115589529,34536,8634
aqi_lag_3,0.2393606017781382,MODERATE_DRIFT,118.8383425990271,120.51887885105397,34536,8634
aqi_lag_6,0.2385494123102463,MODERATE_DRIFT,118.87859045633542,120.61558952976604,34536,8634
us_aqi,0.23747764843450922,MODERATE_DRIFT,118.79763145703035,120.4492703266157,34536,8634
aqi_lag_1,0.23737705523226907,MODERATE_DRIFT,118.81326731526524,120.46965485290711,34536,8634
ozone,0.23241501895845948,MODERATE_DRIFT,86.69510076441973,108.2787815612694,34536,8634
wind_speed,0.18379158216825975,MODERATE_DRIFT,7.160565786425758,9.288858003242993,34536,8634
nitrogen_dioxide,0.15038452329688154,MODERATE_DRIFT,25.71117674310864,17.293421357424137,34536,8634
day,0.14780791326541626,MODERATE_DRIFT,15.180681028492009,17.644197359277275,34536,8634
cloud_cover,0.07898924570311786,NO_DRIFT,26.145645123928656,29.25214269168404,34536,8634
humidity,0.013452706148717793,NO_DRIFT,48.9193305536252,47.27380125086866,34536,8634
hour,8.076826903842618e-06,NO_DRIFT,11.492529534398889,11.493398193189716,34536,8634
latitude,5.030017502638393e-07,NO_DRIFT,30.735108243571926,30.736167025712298,34536,8634
longitude,1.8863930838783156e-07,NO_DRIFT,71.3449808981932,71.34507640722724,34536,8634
precipitation,0.0,NO_DRIFT,0.03450602270094973,0.07359277275886032,34536,8634
year,0.0,NO_DRIFT,2025.0,2025.0,34536,8634
is_weekend,0.0,NO_DRIFT,0.29117442668519805,0.2807505211952745,34536,8634
